t(s), a, T (MeV), Tnu (MeV), photons, baryons, rho_{{nu}_{vs}}, drho_{{nu}_{vs}}, phi (GeV^4), rho_vs(MeV^4), sigma_rad (MeV^4), Y(n), Y(p), Y(2H), Y(3H), Y(3He), Y(4He), Y(6Li), Y(7Li), Y(7Be), eta
1.94148e-04,8.24859e-11,1.44315e+01,1.44240e+01,2.85402e-08,1.87258e-15,7.47777e-08,2.07339e-05,0.00000e+00,2.84283e+04,4.24817e-17,4.77606e-01,5.22394e-01,1.35941e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74579e-09
2.60571e-04,8.33189e-11,1.42894e+01,1.42790e+01,2.74321e-08,1.81670e-15,7.18176e-08,2.01146e-05,0.00000e+00,2.75202e+04,4.14429e-17,4.77381e-01,5.22619e-01,1.38211e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74416e-09
3.28328e-04,8.41607e-11,1.41486e+01,1.41355e+01,2.63671e-08,1.76247e-15,6.89733e-08,1.95142e-05,0.00000e+00,2.66396e+04,4.05174e-17,4.77154e-01,5.22846e-01,1.40520e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74249e-09
3.97451e-04,8.50114e-11,1.40092e+01,1.39933e+01,2.53434e-08,1.70982e-15,6.62402e-08,1.89312e-05,0.00000e+00,2.57856e+04,3.95936e-17,4.76925e-01,5.23075e-01,1.42870e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.74077e-09
4.67968e-04,8.58712e-11,1.38712e+01,1.38525e+01,2.43595e-08,1.65872e-15,6.36141e-08,1.83655e-05,0.00000e+00,2.49574e+04,3.86931e-17,4.76694e-01,5.23306e-01,1.45260e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.73901e-09
5.39907e-04,8.67402e-11,1.37346e+01,1.37130e+01,2.34138e-08,1.60912e-15,6.10906e-08,1.78156e-05,0.00000e+00,2.41543e+04,3.78085e-17,4.76460e-01,5.23540e-01,1.47693e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.73720e-09
6.13301e-04,8.76185e-11,1.35993e+01,1.35748e+01,2.25048e-08,1.56098e-15,5.86659e-08,1.72833e-05,0.00000e+00,2.33755e+04,3.69423e-17,4.76224e-01,5.23776e-01,1.50167e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.73534e-09
6.88178e-04,8.85062e-11,1.34653e+01,1.34379e+01,2.16311e-08,1.51425e-15,5.63361e-08,1.67655e-05,0.00000e+00,2.26203e+04,3.60932e-17,4.75986e-01,5.24014e-01,1.52685e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.73344e-09
7.64572e-04,8.94034e-11,1.33327e+01,1.33024e+01,2.07914e-08,1.46889e-15,5.40974e-08,1.62632e-05,0.00000e+00,2.18881e+04,3.52615e-17,4.75745e-01,5.24255e-01,1.55247e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.73148e-09
8.42514e-04,9.03103e-11,1.32014e+01,1.31681e+01,1.99842e-08,1.42486e-15,5.19465e-08,1.57758e-05,0.00000e+00,2.11780e+04,3.44455e-17,4.75502e-01,5.24498e-01,1.57854e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.72947e-09
